month,financial_year,complaints_received,complaints_resolved_rr,complaints_progressed,complaints_closed
2025-07-01,2025-26,10112,6105,6027,4706
2025-08-01,2025-26,8862,5102,4437,4536
2025-09-01,2025-26,9492,4767,4487,4533
2025-10-01,2025-26,10135,5031,4917,5063
2025-11-01,2025-26,8727,4611,4549,3863
2025-12-01,2025-26,8267,4800,4361,3424
2026-01-01,2025-26,9194,4640,4340,3399
2026-02-01,2025-26,9649,4175,4005,3975
2026-03-01,2025-26,10711,5304,5195,4397
2026-04-01,2025-26,10527,5077,5061,4323
2026-05-01,2025-26,10759,5591,5535,4725
2026-06-01,2025-26,10593,5239,5513,5071
